mode,insertion_ts,finished_ts,TTFT,TBT_p95,TBT_p99,TTLT,out_tok,t_finish,t_insert
cachegen_disk,1772771596.9771,1772772016.1722057,0.1319,0.0272,0.0272,0.3422,,495.69480562210083,76.49969983100891
cachegen_disk,1772771596.985,1772772016.949947,0.0788,0.1157,0.1157,0.4674,,496.47254705429077,76.50759983062744
cachegen_disk,1772771597.0443,1772772017.0329244,0.2133,0.0473,0.0473,0.4999,,496.55552434921265,76.56690001487732
cachegen_disk,1772771597.0518,1772772017.0686862,0.1056,0.0473,0.0473,0.3934,,496.59128618240356,76.57439994812012
cachegen_disk,1772771597.0592,1772772017.1833515,0.1111,0.0422,0.0422,0.4034,,496.70595145225525,76.58179998397827
cachegen_disk,1772771597.1473,1772772017.3887649,0.1292,0.0225,0.0225,0.3723,,496.91136479377747,76.66989994049072
cachegen_disk,1772771597.1561,1772772017.7833974,0.1039,0.0486,0.0486,0.426,,497.3059973716736,76.67869997024536
cachegen_disk,1772771597.214,1772772018.0126839,0.1482,0.0484,0.0484,0.4445,,497.5352838039398,76.73659992218018
cachegen_disk,1772771597.2187,1772772018.1725614,0.1051,0.0407,0.0407,0.3765,,497.69516134262085,76.74129986763
cachegen_disk,1772771597.2774,1772772018.2926064,0.0999,0.0416,0.0416,0.3575,,497.8152062892914,76.79999995231628
cachegen_disk,1772771597.2903,1772772018.7177129,0.1225,0.0505,0.0505,0.4335,,498.2403128147125,76.81289982795715
cachegen_disk,1772771597.2958,1772772018.855688,0.1113,0.0504,0.0504,0.4003,,498.3782880306244,76.81839990615845
cachegen_disk,1772771597.3921,1772772019.0106606,0.1063,0.0492,0.0492,0.4242,,498.53326058387756,76.91470003128052
cachegen_disk,1772771597.3984,1772772019.719595,0.1261,0.0319,0.0319,0.4132,,499.24219489097595,76.9210000038147
cachegen_disk,1772771597.4062,1772772019.8363492,0.0868,0.4835,0.4835,0.7506,,499.3589491844177,76.92879986763
cachegen_disk,1772771597.4436,1772772019.8364134,0.4775,0.0111,0.0111,0.5051,,499.3590133190155,76.96619987487793
cachegen_disk,1772771597.5493,1772772020.6985312,0.1605,0.1488,0.1488,0.6736,,500.2211310863495,77.07189989089966
